0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:34:16 +0900] "GET /KimYouKyungProj2/Images/middlepearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:34:16 +0900] "GET /KimYouKyungProj2/Images/bitnalhee.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:34:16 +0900] "GET /KimYouKyungProj2/Images/bigpearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:34:16 +0900] "GET /KimYouKyungProj2/Images/mari.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:34:16 +0900] "GET /KimYouKyungProj2/Images/goldennail.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:34:16 +0900] "GET /KimYouKyungProj2/Images/nailing.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:34:16 +0900] "GET /KimYouKyungProj2/MainPage.jsp HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:34:16 +0900] "GET /KimYouKyungProj2/Images/nail-polish.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:36:35 +0900] "GET /KimYouKyungProj2/MainPage.jsp HTTP/1.1" 200 10313
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:36:36 +0900] "GET /KimYouKyungProj2/Images/silver.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:36:36 +0900] "GET /KimYouKyungProj2/Images/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:36:36 +0900] "GET /KimYouKyungProj2/Images/bigheart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:36:36 +0900] "GET /KimYouKyungProj2/Images/mari.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:36:36 +0900] "GET /KimYouKyungProj2/Images/bigpearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:36:36 +0900] "GET /KimYouKyungProj2/Images/bitnalhee.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:36:36 +0900] "GET /KimYouKyungProj2/Images/goldennail.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:36:36 +0900] "GET /KimYouKyungProj2/Images/nailing.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:36:36 +0900] "GET /KimYouKyungProj2/Images/redheart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:36:36 +0900] "GET /KimYouKyungProj2/Images/nail-polish.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:36:36 +0900] "GET /KimYouKyungProj2/Images/middlepearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:02 +0900] "GET /KimYouKyungProj2/MainPage.jsp HTTP/1.1" 200 10313
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:02 +0900] "GET /KimYouKyungProj2/Images/nail-polish.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:02 +0900] "GET /KimYouKyungProj2/Images/redheart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:02 +0900] "GET /KimYouKyungProj2/Images/bitnalhee.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:02 +0900] "GET /KimYouKyungProj2/Images/mari.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:02 +0900] "GET /KimYouKyungProj2/Images/middlepearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:02 +0900] "GET /KimYouKyungProj2/Images/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:02 +0900] "GET /KimYouKyungProj2/Images/goldennail.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:37:02 +0900] "GET /KimYouKyungProj2/Images/bigheart.jpg HTTP/1.1" 304 -
